Event	ID	Name			Wwise Object Path	Notes
	1602358412	play_footstep			\Default Work Unit\Player\play_footstep	
	2813528693	play_sword_1			\Default Work Unit\Weapons\play_sword_1	
	3102913021	play_blaster_1			\Default Work Unit\Weapons\play_blaster_1	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	29257732	FLY_player_footstep_jingle_2	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\2 player footsteps keys_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Jingle\FLY_player_footstep_jingle_2		352864
	32750921	blaster 1 shot	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\blaster 1 shot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Weapons\Blaster_1\shot\blaster 1 shot		255844
	250312757	FLY_player_footstep_step_3	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\3 player footsteps step_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Step\FLY_player_footstep_step_3		352864
	361172441	FLY_player_footstep_step_1	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\1 player footsteps step_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Step\FLY_player_footstep_step_1		352864
	361911143	blaster 1 airtime	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\blaster 1 airtime_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Weapons\Blaster_1\airtime\blaster 1 airtime		255844
	367495978	FLY_player_footstep_jingle_4	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\4 player footsteps keys_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Jingle\FLY_player_footstep_jingle_4		352864
	372716661	FLY_player_footstep_step_2	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\2 player footsteps step_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Step\FLY_player_footstep_step_2		352864
	426123042	FLY_player_footstep_jingle_3	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\3 player footsteps keys_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Jingle\FLY_player_footstep_jingle_3		352864
	537557325	FLY_player_footstep_cloth_3	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\3 player footsteps jeans_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Cloth\FLY_player_footstep_cloth_3		352864
	544311960	FLY_player_footstep_cloth_2	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\2 player footsteps jeans_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Cloth\FLY_player_footstep_cloth_2		352864
	544867130	FLY_player_footstep_jingle_1	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\1 player footsteps keys_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Jingle\FLY_player_footstep_jingle_1		352864
	574093088	FLY_player_footstep_cloth_4	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\4 player footsteps jeans_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Cloth\FLY_player_footstep_cloth_4		352864
	713845402	FLY_player_footstep_step_4	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\4 player footsteps step_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Step\FLY_player_footstep_step_4		352864
	819501719	blaster 1 reload	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\blaster 1 reload_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Weapons\Blaster_1\reload\blaster 1 reload		255844
	888431465	FLY_weapons_sword_1_afterglow	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\FLY_weapons_sword_1_afterglow_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Weapons\Sword_1\afterglow\FLY_weapons_sword_1_afterglow		220564
	998077763	FLY_player_footstep_cloth_1	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\1 player footsteps jeans_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Player Footsteps\Cloth\FLY_player_footstep_cloth_1		352864
	1041887280	FLY_weapons_sword_1_swoosh	C:\Users\lawri\Documents\WwiseProjects\6 month project\.cache\Windows\SFX\FLY_weapons_sword_1_swoosh_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\Weapons\Sword_1\swoosh\FLY_weapons_sword_1_swoosh		220564

